type,name,lat,lng,assetId,tds,AveDrySolids,classification,InletScreened6mm,InletDeGritting,SludgeScreened,CoLocatedSTC,OpsHrs,TankerSizeM3,Collection,SlugePrimaryDestination,SlugePrimaryDestinationPercent,PrimaryTransportMode,SlugeSecondaryDestination,SlugeSecondaryDestinationPercent,SecondaryTransportMode
WwTW,ALLENDALE STW,54.9082,-2.2694,NST2072,13,2.69,SB,Y,Y,N,N,12 hrs 7 days,18,Weekly,Hexham,89,Road - liquid,Howdon,11,Road - liquid
WwTW,ALNWICK STW,55.4122,-1.6812,NST1272,339,1.78,SB,Y,Y,N,N,24 hrs 7 days,29,Daily,Howdon,100,Road - liquid,,,
WwTW,AMBLE STW,55.3241,-1.5763,NST9122,175,2.14,CSAS,Y,Y,N,N,24 hrs 7 days,29,Twice Weekly,Howdon,100,Road - liquid,,,
WwTW,AYCLIFFE STW,54.6052,-1.5632,TST1112,1428,4,SAS Cphos,Y,Y,N,N,24 hrs 7 days,29,Daily,Bran Sands,62,Road - liquid,Howdon,37,Road - liquid
WwTW,GREAT AYTON STW,54.4794,-1.1565,TST2022,119,2.11,SB Cphos,Y,Y,N,N,24 hrs 7 days,29,Twice Weekly,Bran Sands,93,Road - liquid,Portrack,7,Road - liquid
WwTW,BARKERS HAUGH STW,54.782442,-1.572749,WST1032,946,3.76,SB Cphos,Y,Y,N,N,24 hrs 7 days,29,Daily,Howdon,93,Road - liquid,Hendon,7,Road - liquid
WwTW,BARNARD CASTLE STW,54.5349,-1.91,TST3022,163,4.89,SB,Y,Y,N,N,24 hrs 7 days,29,Weekly,Bran Sands,95,Road - liquid,Portrack,5,Road - liquid
WwTW,BELMONT STW,54.7999,-1.5286,WST1052,229,4.57,SB Cphos,Y,Y,N,N,24 hrs 7 days,29,Daily,Howdon,91,Road - liquid,Hendon,9,Road - liquid
WwTW,BERWICK STW,55.757272,-2.032702,NST1012,31,4,SAS,Y,Y,N,N,24 hrs 7 days,29,Daily,Howdon,100,,,,
WwTW,BILLINGHAM STW,54.6229,-1.2588,TST402,748,2.88,SAS,Y,Y,N,N,24 hrs 7 days,29,Daily,Bran Sands,76,Road - liquid,Portrack,24,Road - liquid
WwTW,BIRTLEY STW,54.9026,-1.5944,NST2305,72,3.92,SB,Y,Y,Y,Y,24 hrs 7 days,29,Daily,Howdon,99,Road - liquid,Hexham,1,Road - liquid
