Id,Company,Status,StatusStart,Latitude,Longitude,ReceivingWaterCourse,LastUpdated,ObjectId,LatestEventStart,LatestEventEnd,x,y
SRN0333,Southern Water,0,9/22/2024 2:20:15 AM,51.3928548119786,0.570073996039001,RIVER MEDWAY,12/22/2024 3:15:00 PM,6168610,9/22/2024 2:20:15 AM,10/16/2024 7:07:48 PM,63460.3469535483,6691081.61143891
SRN0763,Southern Water,0,11/27/2024 2:10:15 AM,50.7288852216585,-1.15310245678899,MONKTONMEAD BROOK,12/22/2024 3:15:00 PM,6168611,11/27/2024 2:10:15 AM,11/27/2024 12:46:50 PM,-128362.778322223,6573476.05113797
SRN0331,Southern Water,0,11/27/2024 5:13:08 AM,50.9378258064539,-1.3559656778952,ITCHEN,12/22/2024 3:15:00 PM,6168612,11/27/2024 5:13:08 AM,11/27/2024 8:15:00 AM,-150945.40879645,6610303.18785357
SRN0745,Southern Water,0,12/5/2024 3:24:57 AM,50.7177548482561,-1.10768978451047,SOLENT,12/22/2024 3:15:00 PM,6168613,12/5/2024 3:24:57 AM,12/5/2024 12:04:00 PM,-123307.462768616,6571518.86533993
SRN0057,Southern Water,0,12/5/2024 7:08:41 PM,51.381195967985,0.605207706761961,MEDWAY,12/22/2024 3:15:00 PM,6168614,12/5/2024 7:08:41 PM,12/5/2024 7:19:31 PM,67371.4137409063,6689001.90155703
SRN0715,Southern Water,0,12/7/2024 1:18:00 AM,50.7267742941186,-1.22454872929067,IOW STREAMS,12/22/2024 3:15:00 PM,6168615,12/7/2024 1:18:00 AM,12/7/2024 1:30:00 AM,-136316.140996188,6573104.82594103
SRN0307,Southern Water,0,12/31/2023 10:15:00 AM,50.8962426285925,-1.0590642714864,WALLINGTON,12/22/2024 3:15:00 PM,6168616,12/31/2023 10:15:00 AM,12/31/2023 5:20:00 PM,-117894.495419215,6602960.72631417
SRN0947,Southern Water,0,11/27/2024 2:53:40 AM,50.7393633544934,-1.32874624296098,GURNARD LUCK STREAM,12/22/2024 3:15:00 PM,6168617,11/27/2024 2:53:40 AM,11/27/2024 4:01:48 AM,-147915.355159892,6575318.97069699
SRN0439,Southern Water,0,12/5/2024 3:20:00 AM,50.6345747240416,-1.18208962931755,UNAMED STREAM - SCOTCHELLS BROOK,12/22/2024 3:15:00 PM,6168618,12/5/2024 3:20:00 AM,12/5/2024 5:52:00 AM,-131589.615607639,6556907.01066664
SRN0056,Southern Water,0,12/18/2024 8:46:17 PM,51.381195967985,0.605207706761961,MEDWAY,12/22/2024 3:15:00 PM,6168619,12/18/2024 8:46:17 PM,12/18/2024 8:58:49 PM,67371.4137409063,6689001.90155703
